time,values
2283,-0.4151670561
2284,-0.415626585
2285,-0.416086114
2286,-0.4165543133
2287,-0.4170138422
2288,-0.4174733712
2289,-0.4179329001
2290,-0.4184010994
2291,-0.4188606283
2292,-0.4193201573
2293,-0.4197883566
2294,-0.4202478855
2295,-0.4207074145
2296,-0.4211756138
2297,-0.4216351427
2298,-0.4220946716
2299,-0.4225542006
2300,-0.4230223999
2301,-0.4234819288
2302,-0.4239414577
2303,-0.424409657
2304,-0.424869186
2305,-0.4253287149
2306,-0.4257969142
2307,-0.4262564432
2308,-0.4267159721
2309,-0.427175501
2310,-0.4276437003
2311,-0.4281032293
2312,-0.4285627582
2313,-0.4290309575
2314,-0.4294904865
2315,-0.4299500154
2316,-0.4304182147
2317,-0.4308777436
2318,-0.4313372726
2319,-0.4318054719
2320,-0.4322650008
2321,-0.4327245297
2322,-0.4331840587
2323,-0.433652258
2324,-0.4341117869
2325,-0.4345713159
2326,-0.4350395152
2327,-0.4354990441
2328,-0.435958573
2329,-0.4364267723
2330,-0.4368863013
2331,-0.4373458302
2332,-0.4378140295
2333,-0.4382735584
2334,-0.4387330874
2335,-0.4392012867
2336,-0.4396608156
2337,-0.4401203446
2338,-0.4405798735
2339,-0.4410480728
2340,-0.4415076017
2341,-0.4419671307
2342,-0.44243533
2343,-0.4428948589
2344,-0.4433543879
2345,-0.4438139168
2346,-0.4442734457
2347,-0.444741645
2348,-0.445201174
2349,-0.4456607029
2350,-0.4461202318
2351,-0.4465884311
2352,-0.4470479601
2353,-0.447507489
2354,-0.447967018
2355,-0.4484352173
2356,-0.4488947462
2357,-0.4493542751
2358,-0.4498138041
2359,-0.4502820034
2360,-0.4507415323
2361,-0.4512010613
2362,-0.4516605902
2363,-0.4521287895
2364,-0.4525883184
2365,-0.4530478474
2366,-0.4535073763
2367,-0.4539755756
2368,-0.4544351045
2369,-0.4548946335
2370,-0.4553628328
2371,-0.4558223617
2372,-0.4562818907
2373,-0.45675009
2374,-0.4572096189
2375,-0.4576691478
2376,-0.4581373471
2377,-0.4585968761
2378,-0.459056405
2379,-0.4595246043
2380,-0.4599841332
2381,-0.4604436622
2382,-0.4609118615
2383,-0.4613713904
2384,-0.4618395897
2385,-0.4622991187
2386,-0.4627586476
2387,-0.4632268469
2388,-0.4636863758
2389,-0.4641545751
2390,-0.4646141041
2391,-0.465073633
2392,-0.4655418323
2393,-0.4660013612
2394,-0.4664695605
2395,-0.4669290895
2396,-0.4673886184
2397,-0.4678568177
2398,-0.4683163467
2399,-0.4687758756
2400,-0.4692440749
2401,-0.4697036038
2402,-0.4701631328
2403,-0.4706313321
2404,-0.471090861
2405,-0.4715503899
2406,-0.4720185892
2407,-0.4724781182
2408,-0.4729376471
2409,-0.4734058464
2410,-0.4738653754
2411,-0.4743249043
2412,-0.4747844332
2413,-0.4752526325
2414,-0.4757121615
2415,-0.4761716904
2416,-0.4766398897
2417,-0.4770994187
2418,-0.4775589476
2419,-0.4780271469
2420,-0.4784866758
2421,-0.4789462048
2422,-0.4794144041
2423,-0.479873933
2424,-0.4803334619
2425,-0.4808016612
2426,-0.4812611902
2427,-0.4817207191
2428,-0.4821802481
2429,-0.4826484474
2430,-0.4831079763
2431,-0.4835675052
2432,-0.4840357045
2433,-0.4844952335
2434,-0.4849547624
2435,-0.4854229617
2436,-0.4858824906
2437,-0.4863420196
2438,-0.4868102189
2439,-0.4872697478
2440,-0.4877292768
2441,-0.4881974761
2442,-0.488657005
2443,-0.4891165339
2444,-0.4895760629
2445,-0.4900442622
2446,-0.4905037911
2447,-0.4909633201
2448,-0.491422849
2449,-0.4918910483
2450,-0.4923505772
2451,-0.4928101062
2452,-0.4932696351
2453,-0.493729164
2454,-0.4941973633
2455,-0.4946568923
2456,-0.4951164212
2457,-0.4955759502
2458,-0.4960441495
2459,-0.4965036784
2460,-0.4969718777
2461,-0.4974314066
2462,-0.4978909356
2463,-0.4983591349
2464,-0.4988186638
2465,-0.4992868631
2466,-0.499746392
2467,-0.5002145913
2468,-0.5006741203
2469,-0.5011336492
